name,species,fit,lwr,upr,temp
time_maturity,Benedenia seriolae,55.421119576134004,51.84564222407449,58.99659692819352,12
time_maturity,Benedenia seriolae,47.47716235290253,44.9838928910485,49.970431814756566,13
time_maturity,Benedenia seriolae,41.14111232689206,39.32209558259312,42.960129071191005,14
time_maturity,Benedenia seriolae,36.0048571882834,34.54806904741307,37.46164532915373,15
time_maturity,Benedenia seriolae,31.782297408050876,30.46614897623337,33.09844583986838,16
time_maturity,Benedenia seriolae,28.26799076233683,26.966964374283183,29.569017150390476,17
time_maturity,Benedenia seriolae,25.311288016343177,23.973947435923105,26.64862859676325,18
time_maturity,Benedenia seriolae,22.79966162834785,21.414633168317074,24.184690088378623,19
time_maturity,Benedenia seriolae,20.64767164655401,19.22042794991288,22.074915343195137,20
time_maturity,Benedenia seriolae,18.78948948312335,17.330991817616184,20.247987148630518,21
time_maturity,Benedenia seriolae,17.173725404161054,15.695632662010963,18.651818146311143,22
time_maturity,Benedenia seriolae,15.75978215324855,14.272647046911374,17.246917259585725,23
time_maturity,Benedenia seriolae,14.515240573787931,13.027973551664592,16.002507595911272,24
time_maturity,Benedenia seriolae,13.41395617032758,11.933803078459082,14.894109262196078,25
time_maturity,Benedenia seriolae,12.434653767080034,10.967364172201055,13.901943361959013,26
time_maturity,Benedenia seriolae,11.559876558721951,10.109925172462011,13.009827944981891,27
time_maturity,Benedenia seriolae,10.775190892304368,9.345996073435428,12.204385711173307,28
time_maturity,Benedenia seriolae,10.068577997052156,8.662696577345397,11.474459416758915,29
time_maturity,Benedenia seriolae,9.429964026527294,8.049257131706863,10.810670921347725,30
time_maturity,Zeuxapta seriolae,102.92895324594394,45.58577116209606,160.27213532979184,9
time_maturity,Zeuxapta seriolae,84.100156885432,45.34324542486933,122.85706834599466,10
time_maturity,Zeuxapta seriolae,70.05282325138963,43.62300815403157,96.48263834874768,11
time_maturity,Zeuxapta seriolae,59.28781538986302,41.12472530394834,77.4509054757777,12
time_maturity,Zeuxapta seriolae,50.85205760288701,38.163054659853216,63.5410605459208,13
time_maturity,Zeuxapta seriolae,44.1157700054173,34.84737362094628,53.38416638988833,14
time_maturity,Zeuxapta seriolae,38.649055401319984,31.227185430014618,46.070925372625354,15
time_maturity,Zeuxapta seriolae,34.15020694229196,27.451822108982835,40.84859177560108,16
time_maturity,Zeuxapta seriolae,30.402350478993345,23.78611688660007,37.01858407138662,17
time_maturity,Zeuxapta seriolae,27.24629948963831,20.446049083067564,34.04654989620906,18
time_maturity,Zeuxapta seriolae,24.563041031324204,17.51759355930582,31.60848850334259,19
time_maturity,Zeuxapta seriolae,22.262133144896662,14.997435192474107,29.526831097319217,20
time_maturity,Zeuxapta seriolae,20.273836603348993,12.844743384798774,27.70292982189921,21
time_maturity,Zeuxapta seriolae,18.543666696399384,11.009180723360242,26.078152669438527,22
time_maturity,Zeuxapta seriolae,17.028549498455316,9.442393371075791,24.61470562583484,23
time_maturity,Zeuxapta seriolae,15.694063946601453,8.101799946524975,23.28632794667793,24
time_maturity,Zeuxapta seriolae,14.51243247218357,6.951259498406008,22.073605445961128,25
time_maturity,Zeuxapta seriolae,13.46103644716893,5.9605905030790085,20.96148239125885,26
time_maturity,Zeuxapta seriolae,12.521305279971454,5.104753404198307,19.937857155744602,27
time_maturity,Zeuxapta seriolae,11.677875309889725,4.363008103762601,18.992742516016847,28
time_maturity,Zeuxapta seriolae,10.917946053590981,3.7181560898173203,18.117736017364642,29
time_maturity,Neobenedenia girellae,13.732840383189744,9.880428393398457,17.58525237298103,17
time_maturity,Neobenedenia girellae,13.028082812856157,9.813968693376943,16.24219693233537,18
time_maturity,Neobenedenia girellae,12.394757029827103,9.723274370910357,15.066239688743849,19
time_maturity,Neobenedenia girellae,11.822406733208874,9.610890917759916,14.033922548657833,20
time_maturity,Neobenedenia girellae,11.302532116266383,9.47713138659448,13.127932845938284,21
time_maturity,Neobenedenia girellae,10.828151352053117,9.319939508783156,12.336363195323079,22
time_maturity,Neobenedenia girellae,10.39347518492455,9.134754714637918,11.652195655211184,23
time_maturity,Neobenedenia girellae,9.993661950964242,8.915119045939939,11.072204855988545,24
time_maturity,Neobenedenia girellae,9.624630722041717,8.655382605552461,10.593878838530973,25
time_maturity,Neobenedenia girellae,9.282917075159778,8.355686635168324,10.210147515151233,26
time_maturity,Neobenedenia girellae,8.965560542938833,8.025009318277673,9.906111767599993,27
time_maturity,Neobenedenia girellae,8.67001590198825,7.677785155288866,9.662246648687635,28
time_maturity,Neobenedenia girellae,8.394082601462811,7.327662124786405,9.460503078139217,29
time_maturity,Neobenedenia girellae,8.135848140697735,6.9842479933513815,9.28744828804409,30
time_maturity,Neobenedenia girellae,7.893642277234908,6.653157075706748,9.134127478763068,31
time_maturity,Neobenedenia girellae,7.665999719589986,6.337195714757529,8.994803724422443,32
time_maturity,Neobenedenia girellae,7.45162952289019,6.037451832706154,8.865807213074227,33
time_maturity,Neobenedenia girellae,7.249389821175037,5.7540308575565415,8.744748784793533,34
time_maturity,Neobenedenia girellae,7.058266839734862,5.486501669265635,8.630032010204088,35
time_last_hatch,Benedenia seriolae,24.585042977144088,22.370308781744363,26.799777172543813,12
time_last_hatch,Benedenia seriolae,21.277115188451447,19.64775721297649,22.906473163926403,13
time_last_hatch,Benedenia seriolae,18.612628198522515,17.39736942198735,19.82788697505768,14
time_last_hatch,Benedenia seriolae,16.43286174866198,15.504743675016964,17.360979822306998,15
time_last_hatch,Benedenia seriolae,14.625515270593178,13.886897037334943,15.364133503851413,16
