species,temp,onco_longe,onco_infectivity,time_1st_hatch,time_last_hatch,time_maturity,lower_treat,upper_treat
Zeuxapta seriolae,10,4.965528198025463,2.4827640990127313,24.585942551060814,29.622615088945853,84.100156885432,32.10537918795858,83.100156885432
Zeuxapta seriolae,11,4.778014664995592,2.389007332497796,20.20219396706307,25.22506067239286,70.05282325138963,27.614068004890655,69.05282325138963
Zeuxapta seriolae,12,4.609206740348188,2.304603370174094,16.886373671623648,21.78300884045482,59.28781538986302,24.08761221062891,58.28781538986302
Benedenia seriolae,12,4.562252334182787,2.2811261670913936,20.501644782918937,24.585042977144088,55.421119576134004,26.86616914423548,54.421119576134004
BeZe,12,,,,,,26.86616914423548,54.421119576134004
Zeuxapta seriolae,13,4.458455051293368,2.229227525646684,14.318916902529782,19.03296047749753,50.85205760288701,21.262188003144214,49.85205760288701
Benedenia seriolae,13,4.42797044575062,2.21398522287531,17.632871884537156,21.277115188451447,47.47716235290253,23.491100411326755,46.47716235290253
BeZe,13,,,,,,23.491100411326755,46.47716235290253
Zeuxapta seriolae,14,4.325485899207298,2.162742949603649,12.291210058875036,16.79734152389549,44.1157700054173,18.96008447349914,43.1157700054173
Benedenia seriolae,14,4.3071710667689524,2.1535855333844762,15.33597263740499,18.612628198522515,41.14111232689206,20.76621373190699,40.14111232689206
BeZe,14,,,,,,20.76621373190699,40.14111232689206
Zeuxapta seriolae,15,4.2049545070975425,2.1024772535487712,10.662434137450036,14.952723665689302,38.649055401319984,17.05520091923807,37.649055401319984
Benedenia seriolae,15,4.19767358710273,2.098836793551365,13.46738132105472,16.43286174866198,36.0048571882834,18.531698542213345,35.0048571882834
BeZe,15,,,,,,18.531698542213345,35.0048571882834
Zeuxapta seriolae,16,4.100524611942612,2.050262305971306,9.334779377349275,13.41101889234441,34.15020694229196,15.461281198315717,33.15020694229196
Benedenia seriolae,16,4.097766804749912,2.048883402374956,11.926091339808512,14.625515270593178,31.782297408050876,16.674398672968135,30.782297408050876
BeZe,16,,,,,,16.674398672968135,30.782297408050876
Zeuxapta seriolae,17,4.005463366714078,2.002731683357039,8.238613096875401,12.107910615506274,30.402350478993345,14.110642298863313,29.402350478993345
Neobenedenia girellae,17,6.281616264121342,3.140808132060671,7.055121409584637,5.158152188897887,13.732840383189744,8.298960320958559,12.732840383189744
Benedenia seriolae,17,4.006085758917402,2.003042879458701,10.639328566201703,13.109250997385557,28.26799076233683,15.112293876844259,27.26799076233683
BeZe,17,,,,,,15.112293876844259,27.26799076233683
NeZe,17,,,,,,14.110642298863313,12.732840383189744
Zeuxapta seriolae,18,3.919716668024355,1.9598583340121776,7.323284300373054,10.995494854879773,27.24629948963831,12.955353188891952,26.24629948963831
Neobenedenia girellae,18,4.744481342757055,2.3722406713785276,6.748903897946451,5.304921166093462,13.028082812856157,7.677161837471989,12.028082812856157
Benedenia seriolae,18,3.9215260290947933,1.9607630145473967,9.553560695654083,11.823942102505377,25.311288016343177,13.784705117052773,24.311288016343177
BeZe,18,,,,,,13.784705117052773,24.311288016343177
NeZe,18,,,,,,12.955353188891952,12.028082812856157
BeNe,18,,,,,,13.784705117052773,12.028082812856157
Zeuxapta seriolae,19,3.8415822551159993,1.9207911275579996,6.551244904376619,10.03746140805726,24.563041031324204,11.958252535615259,23.563041031324204
Neobenedenia girellae,19,3.6473000827615354,1.8236500413807677,6.471488851433424,5.447594217414876,12.394757029827103,7.271244258795644,11.394757029827103
Benedenia seriolae,19,3.8431827047375973,1.9215913523687986,8.628683714863245,10.724335410091285,22.79966162834785,12.645926762460084,21.79966162834785
BeZe,19,,,,,,12.645926762460084,21.79966162834785
NeZe,19,,,,,,11.958252535615259,11.394757029827103
BeNe,19,,,,,,12.645926762460084,11.394757029827103
Zeuxapta seriolae,20,3.7706119642161107,1.8853059821080553,5.894188547175708,9.205856777698374,22.262133144896662,11.09116275980643,21.262133144896662
Neobenedenia girellae,20,2.8432559271203646,1.4216279635601823,6.218854761104819,5.586492657169698,11.822406733208874,7.00812062072988,10.822406733208874
Benedenia seriolae,20,3.770306029222778,1.885153014611389,7.834162646147564,9.775824702362234,20.64767164655401,11.660977716973623,19.64767164655401
BeZe,20,,,,,,11.660977716973623,19.64767164655401
NeZe,20,,,,,,11.09116275980643,10.822406733208874
BeNe,20,,,,,,11.660977716973623,10.822406733208874
Zeuxapta seriolae,21,3.7026368270296603,1.8513184135148302,5.330453264101678,8.47885999837821,20.273836603348993,10.33017841189304,19.273836603348993
Neobenedenia girellae,21,2.2374707667922227,1.1187353833961113,5.98770732204965,5.7218979498333145,11.302532116266383,6.840633333229426,10.302532116266383
Benedenia seriolae,21,3.7022685754456353,1.8511342877228176,7.146409323236693,8.951566137158489,18.78948948312335,10.802700424881307,17.78948948312335
BeZe,21,,,,,,10.802700424881307,17.78948948312335
NeZe,21,,,,,,10.33017841189304,10.302532116266383
BeNe,21,,,,,,10.802700424881307,10.302532116266383
Zeuxapta seriolae,22,3.637875413948824,1.818937706974412,4.843236742345172,7.839223345458668,18.543666696399384,9.65816105243308,17.543666696399384
Neobenedenia girellae,22,1.7819475609463022,0.8909737804731511,5.775320706231158,5.8540582982292895,10.828151352053117,6.74503207870244,9.828151352053117
Benedenia seriolae,22,3.6385405608614265,1.8192702804307133,6.5469633480105465,8.23046884199502,17.173725404161054,10.049739122425732,16.173725404161054
BeZe,22,,,,,,10.049739122425732,16.173725404161054
NeZe,22,,,,,,9.65816105243308,9.828151352053117
BeNe,22,,,,,,10.049739122425732,9.828151352053117
Zeuxapta seriolae,23,3.5759880717851558,1.7879940358925779,4.419346289845685,7.273159243846432,17.028549498455316,9.06115327973901,16.028549498455316
Neobenedenia girellae,23,1.4337317289356784,0.7168658644678392,5.579418904729283,5.983193894766688,10.39347518492455,6.700059759234527,9.39347518492455
Benedenia seriolae,23,3.5786710133866086,1.7893355066933043,6.02120651418043,7.595769173487104,15.75978215324855,9.385104680180408,14.75978215324855
BeNeZe,23,,,,,,9.385104680180408,9.39347518492455
BeZe,23,,,,,,9.385104680180408,14.75978215324855
NeZe,23,,,,,,9.06115327973901,9.39347518492455
BeNe,23,,,,,,9.385104680180408,9.39347518492455
Zeuxapta seriolae,24,3.5211243616663115,1.7605621808331557,4.048308096868915,6.769532634794152,15.694063946601453,8.530094815627308,14.694063946601453
Neobenedenia girellae,24,1.1644589634087439,0.5822294817043719,5.398085769545524,6.109501153006557,9.993661950964242,6.691730634710929,8.993661950964242
Benedenia seriolae,24,3.5222732126380354,1.7611366063190177,5.557438863232188,7.034002175207526,14.515240573787931,8.795138781526543,13.515240573787931
BeNeZe,24,,,,,,8.795138781526543,8.993661950964242
BeZe,24,,,,,,8.795138781526543,13.515240573787931
NeZe,24,,,,,,8.530094815627308,8.993661950964242
BeNe,24,,,,,,8.795138781526543,8.993661950964242
Zeuxapta seriolae,25,3.4643486139464597,1.7321743069732298,3.721722520186925,6.319266246047332,14.51243247218357,8.051440553020562,13.51243247218357
Neobenedenia girellae,25,0.9543654595834774,0.4771827297917387,5.229695938773904,6.2331561515263045,9.624630722041717,6.710338881318044,8.624630722041717
Benedenia seriolae,25,3.4690133019565983,1.7345066509782991,5.146204453543891,6.53424832173039,13.41395617032758,8.268754972708688,12.41395617032758
BeNeZe,25,,,,,,8.268754972708688,8.624630722041717
BeZe,25,,,,,,8.268754972708688,12.41395617032758
NeZe,25,,,,,,8.051440553020562,8.624630722041717
BeNe,25,,,,,,8.268754972708688,8.624630722041717
Zeuxapta seriolae,26,3.418078725136631,1.7090393625683156,3.4327907437174963,5.914896699205333,13.46103644716893,7.623936061773649,12.46103644716893
Neobenedenia girellae,26,0.7889078994884124,0.3944539497442062,5.072861177464673,6.3543174621613625,9.282917075159778,6.748771411905569,8.282917075159778
Benedenia seriolae,26,3.418601283967349,1.7093006419836745,4.77979247612196,6.087574248165668,12.434653767080034,7.796874890149342,11.434653767080034
BeNeZe,26,,,,,,7.796874890149342,8.282917075159778
BeZe,26,,,,,,7.796874890149342,11.434653767080034
NeZe,26,,,,,,7.623936061773649,8.282917075159778
BeNe,26,,,,,,7.796874890149342,8.282917075159778
Zeuxapta seriolae,27,3.3676949672050163,1.6838474836025081,3.1759627014657785,5.550239087226263,12.521305279971454,7.234086570828771,11.521305279971454
Neobenedenia girellae,27,0.6565651795052224,0.3282825897526112,4.92638824823586,6.473128491974274,8.965560542938833,6.801411081726885,7.965560542938833
Benedenia seriolae,27,3.3707838300931297,1.6853919150465648,4.451863395935388,5.686612261502736,11.559876558721951,7.372004176549301,10.559876558721951
BeNeZe,27,,,,,,7.372004176549301,7.965560542938833
BeZe,27,,,,,,7.372004176549301,10.559876558721951
NeZe,27,,,,,,7.234086570828771,7.965560542938833
BeNe,27,,,,,,7.372004176549301,7.965560542938833
Zeuxapta seriolae,28,3.3198232717492595,1.6599116358746298,2.946672042753399,5.220130628263531,11.677875309889725,6.880042264138161,10.677875309889725
Neobenedenia girellae,28,0.550410649250594,0.275205324625297,4.789245509510768,6.5897194373645105,8.67001590198825,6.8649247619898075,7.670015901988251
Benedenia seriolae,28,3.3253384862254403,1.6626692431127201,4.157165497842823,5.325240527602474,10.775190892304368,6.987909770715194,9.775190892304368
